kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,satuan,kecamatan,puskesmas,jenis_kelamin,penderita_dbd,year,data_origin
32,JAWA BARAT,3273,KOTA BANDUNG,3273130,32.73.24,ARCAMANIK,ORANG,ARCAMANIK,UPT ARCAMANIK,LAKI-LAKI,89,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273130,32.73.24,ARCAMANIK,ORANG,ARCAMANIK,UPT ARCAMANIK,PEREMPUAN,96,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273150,32.73.16,KIARACONDONG,ORANG,KIARACONDONG,UPT BABAKAN SARI,LAKI-LAKI,126,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273150,32.73.16,KIARACONDONG,ORANG,KIARACONDONG,UPT BABAKAN SARI,PEREMPUAN,77,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273020,32.73.03,BABAKAN CIPARAY,ORANG,BABAKAN CIPARAY,UPT CARINGIN,LAKI-LAKI,48,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273020,32.73.03,BABAKAN CIPARAY,ORANG,BABAKAN CIPARAY,UPT CARINGIN,PEREMPUAN,41,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273030,32.73.04,BOJONGLOA KALER,ORANG,BOJONGLOA KALER,UPT CETARIP,LAKI-LAKI,33,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273030,32.73.04,BOJONGLOA KALER,ORANG,BOJONGLOA KALER,UPT CETARIP,PEREMPUAN,31,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273110,32.73.25,CIBIRU,ORANG,CIBIRU,UPT CIBIRU,LAKI-LAKI,53,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273110,32.73.25,CIBIRU,ORANG,CIBIRU,UPT CIBIRU,PEREMPUAN,71,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273010,32.73.15,BANDUNG KULON,ORANG,BANDUNG KULON,UPT CIBUNTU,LAKI-LAKI,73,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273010,32.73.15,BANDUNG KULON,ORANG,BANDUNG KULON,UPT CIBUNTU,PEREMPUAN,63,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273121,32.73.29,CINAMBO,ORANG,CINAMBO,UPT CINAMBO,LAKI-LAKI,17,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273121,32.73.29,CINAMBO,ORANG,CINAMBO,UPT CINAMBO,PEREMPUAN,19,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273100,32.73.23,RANCASARI,ORANG,RANCASARI,UPT CIPAMOKOLAN,LAKI-LAKI,103,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273100,32.73.23,RANCASARI,ORANG,RANCASARI,UPT CIPAMOKOLAN,PEREMPUAN,103,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273260,32.73.08,CIDADAP,ORANG,CIDADAP,UPT CIUMBULEUIT,LAKI-LAKI,39,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273260,32.73.08,CIDADAP,ORANG,CIDADAP,UPT CIUMBULEUIT,PEREMPUAN,29,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273180,32.73.05,ANDIR,ORANG,ANDIR,UPT GARUDA,LAKI-LAKI,62,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273180,32.73.05,ANDIR,ORANG,ANDIR,UPT GARUDA,PEREMPUAN,44,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273141,32.73.20,ANTAPANI,ORANG,ANTAPANI,UPT GRIYA ANTAPANI,LAKI-LAKI,99,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273141,32.73.20,ANTAPANI,ORANG,ANTAPANI,UPT GRIYA ANTAPANI,PEREMPUAN,71,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273160,32.73.12,BATUNUNGGAL,ORANG,BATUNUNGGAL,UPT IBRAHIM AJI,LAKI-LAKI,114,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273160,32.73.12,BATUNUNGGAL,ORANG,BATUNUNGGAL,UPT IBRAHIM AJI,PEREMPUAN,96,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273040,32.73.17,BOJONGLOA KIDUL,ORANG,BOJONGLOA KIDUL,UPT KOPO,LAKI-LAKI,55,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273040,32.73.17,BOJONGLOA KIDUL,ORANG,BOJONGLOA KIDUL,UPT KOPO,PEREMPUAN,25,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273080,32.73.21,BANDUNG KIDUL,ORANG,BANDUNG KIDUL,UPT KUJANGSARI,LAKI-LAKI,104,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273080,32.73.21,BANDUNG KIDUL,ORANG,BANDUNG KIDUL,UPT KUJANGSARI,PEREMPUAN,59,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273090,32.73.22,BUAHBATU,ORANG,BUAHBATU,UPT MARGAHAYU RAYA,LAKI-LAKI,145,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273090,32.73.22,BUAHBATU,ORANG,BUAHBATU,UPT MARGAHAYU RAYA,PEREMPUAN,148,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273220,32.73.18,CIBEUNYING KALER,ORANG,CIBEUNYING KALER,UPT NEGLASARI,LAKI-LAKI,73,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273220,32.73.18,CIBEUNYING KALER,ORANG,CIBEUNYING KALER,UPT NEGLASARI,PEREMPUAN,71,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273210,32.73.14,CIBEUNYING KIDUL,ORANG,CIBEUNYING KIDUL,UPT PADASUKA,LAKI-LAKI,67,2016,real_bandung_reference
32,JAWA BARAT,3273,KOTA BANDUNG,3273210,32.73.14,CIBEUNYING KIDUL,ORANG,CIBEUNYING KIDUL,UPT PADASUKA,PEREMPUAN,74,2016,real_bandung_reference
