region,region_type,province,latitude,longitude,year,month,date_month,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,weather_source,rainfall_lag_1,rainfall_lag_2,humidity_lag_1,temperature_lag_1,temperature_lag_2
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,1,2015-01-01,26.46,30.33,24.09,85.5,11.88,NASA_POWER,11.88,11.88,85.5,26.46,26.46
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,2,2015-02-01,26.4,29.97,24.26,85.8,19.1,NASA_POWER,11.88,19.1,85.5,26.46,26.4
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,3,2015-03-01,27.01,31.32,24.36,83.57,9.22,NASA_POWER,19.1,11.88,85.8,26.4,26.46
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,4,2015-04-01,27.54,31.16,24.84,82.29,6.37,NASA_POWER,9.22,19.1,83.57,27.01,26.4
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,5,2015-05-01,27.5,30.73,24.01,82.94,3.17,NASA_POWER,6.37,9.22,82.29,27.54,27.01
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,6,2015-06-01,27.19,30.56,23.39,81.07,1.51,NASA_POWER,3.17,6.37,82.94,27.5,27.54
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,7,2015-07-01,26.72,30.26,23.28,80.57,0.47,NASA_POWER,1.51,3.17,81.07,27.19,27.5
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,8,2015-08-01,26.76,31.16,22.66,78.55,0.56,NASA_POWER,0.47,1.51,80.57,26.72,27.19
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,9,2015-09-01,27.61,32.62,23.3,73.1,0.25,NASA_POWER,0.56,0.47,78.55,26.76,26.72
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,10,2015-10-01,28.53,33.11,24.7,72.06,0.56,NASA_POWER,0.25,0.56,73.1,27.61,26.76
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,11,2015-11-01,28.75,33.27,25.7,75.69,4.34,NASA_POWER,0.56,0.25,72.06,28.53,27.61
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2015,12,2015-12-01,27.89,31.15,24.58,80.88,7.46,NASA_POWER,4.34,0.56,75.69,28.75,28.53
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,1,2016-01-01,28.07,31.91,24.94,81.38,7.06,NASA_POWER,7.46,4.34,80.88,27.89,28.75
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,2,2016-02-01,27.35,31.29,25.13,85.23,17.96,NASA_POWER,7.06,7.46,81.38,28.07,27.89
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,3,2016-03-01,27.95,31.08,25.26,84.42,8.99,NASA_POWER,17.96,7.06,85.23,27.35,28.07
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,4,2016-04-01,28.16,31.26,25.87,83.26,7.56,NASA_POWER,8.99,17.96,84.42,27.95,27.35
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,5,2016-05-01,28.31,31.3,25.73,83.03,4.21,NASA_POWER,7.56,8.99,83.26,28.16,27.95
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,6,2016-06-01,27.82,31.08,24.93,80.72,4.9,NASA_POWER,4.21,7.56,83.03,28.31,28.16
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,7,2016-07-01,27.52,30.53,24.56,81.94,5.73,NASA_POWER,4.9,4.21,80.72,27.82,28.31
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,8,2016-08-01,27.55,30.85,23.55,78.27,4.55,NASA_POWER,5.73,4.9,81.94,27.52,27.82
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,9,2016-09-01,27.56,30.88,25.12,81.46,6.87,NASA_POWER,4.55,5.73,78.27,27.55,27.52
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,10,2016-10-01,27.16,30.88,24.65,82.77,10.34,NASA_POWER,6.87,4.55,81.46,27.56,27.55
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,11,2016-11-01,27.4,30.24,25.27,82.37,9.59,NASA_POWER,10.34,6.87,82.77,27.16,27.56
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2016,12,2016-12-01,27.12,30.15,24.91,84.57,5.25,NASA_POWER,9.59,10.34,82.37,27.4,27.16
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,1,2017-01-01,26.75,30.7,24.66,86.06,11.0,NASA_POWER,5.25,9.59,84.57,27.12,27.4
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,2,2017-02-01,26.6,29.79,24.49,87.06,19.52,NASA_POWER,11.0,5.25,86.06,26.75,27.12
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,3,2017-03-01,27.15,30.37,24.74,83.89,7.38,NASA_POWER,19.52,11.0,87.06,26.6,26.75
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,4,2017-04-01,27.41,30.65,24.99,84.46,8.42,NASA_POWER,7.38,19.52,83.89,27.15,26.6
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,5,2017-05-01,27.79,30.93,24.56,82.47,4.54,NASA_POWER,8.42,7.38,84.46,27.41,27.15
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,6,2017-06-01,27.23,30.45,24.93,83.74,4.39,NASA_POWER,4.54,8.42,82.47,27.79,27.41
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,7,2017-07-01,27.05,30.34,22.96,80.87,2.26,NASA_POWER,4.39,4.54,83.74,27.23,27.79
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,8,2017-08-01,26.89,30.18,22.75,78.86,0.58,NASA_POWER,2.26,4.39,80.87,27.05,27.23
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,9,2017-09-01,27.52,31.77,23.87,77.46,1.98,NASA_POWER,0.58,2.26,78.86,26.89,27.05
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,10,2017-10-01,28.07,31.68,25.64,79.79,6.99,NASA_POWER,1.98,0.58,77.46,27.52,26.89
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,11,2017-11-01,27.95,31.69,25.34,80.72,11.01,NASA_POWER,6.99,1.98,79.79,28.07,27.52
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2017,12,2017-12-01,27.14,31.45,24.44,84.11,7.79,NASA_POWER,11.01,6.99,80.72,27.95,28.07
JAKARTA BARAT,kota,DKI JAKARTA,-6.1683,106.7588,2018,1,2018-01-01,26.98,30.56,24.87,84.63,6.49,NASA_POWER,7.79,11.01,84.11,27.14,27.95
