region,region_type,province,year,month,date_month,penderita_dbd,meninggal,population,population_scale,risk_multiplier,monthly_share,weather_multiplier,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,rainfall_lag_1,rainfall_lag_2,humidity_lag_1,temperature_lag_1,temperature_lag_2,data_origin,synthetic_method,incidence_rate_per_100k
JAKARTA BARAT,kota,DKI JAKARTA,2015,1,2015-01-01,128,0,2400000,0.22857142857142856,1.0,0.10434500385411173,1.2370903783593779,26.46,30.33,24.09,85.5,11.88,11.88,11.88,85.5,26.46,26.46,real_jakarta,not_synthetic_real_observed,5.333333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2015,2,2015-02-01,134,1,2400000,0.22857142857142856,1.0,0.13298713943770538,1.2370903783593779,26.4,29.97,24.26,85.8,19.1,11.88,19.1,85.5,26.46,26.4,real_jakarta,not_synthetic_real_observed,5.583333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2015,3,2015-03-01,205,0,2400000,0.22857142857142856,1.0,0.19465292709643392,1.460094633518782,27.01,31.32,24.36,83.57,9.22,19.1,11.88,85.8,26.4,26.46,real_jakarta,not_synthetic_real_observed,8.541666666666666
JAKARTA BARAT,kota,DKI JAKARTA,2015,4,2015-04-01,237,0,2400000,0.22857142857142856,1.0,0.16191326220130633,1.1349024900696865,27.54,31.16,24.84,82.29,6.37,9.22,19.1,83.57,27.01,26.4,real_jakarta,not_synthetic_real_observed,9.875
JAKARTA BARAT,kota,DKI JAKARTA,2015,5,2015-05-01,187,0,2400000,0.22857142857142856,1.0,0.14970181346099234,1.0416193144258792,27.5,30.73,24.01,82.94,3.17,6.37,9.22,82.29,27.54,27.01,real_jakarta,not_synthetic_real_observed,7.791666666666667
JAKARTA BARAT,kota,DKI JAKARTA,2015,6,2015-06-01,119,0,2400000,0.22857142857142856,1.0,0.08896912653657349,0.9585426402723974,27.19,30.56,23.39,81.07,1.51,3.17,6.37,82.94,27.5,27.54,real_jakarta,not_synthetic_real_observed,4.958333333333333
JAKARTA BARAT,kota,DKI JAKARTA,2015,7,2015-07-01,105,0,2400000,0.22857142857142856,1.0,0.048683516572680434,0.8497957707303331,26.72,30.26,23.28,80.57,0.47,1.51,3.17,81.07,27.19,27.5,real_jakarta,not_synthetic_real_observed,4.375
JAKARTA BARAT,kota,DKI JAKARTA,2015,8,2015-08-01,45,0,2400000,0.22857142857142856,1.0,0.027506186863564444,0.7854571898141235,26.76,31.16,22.66,78.55,0.56,0.47,1.51,80.57,26.72,27.19,real_jakarta,not_synthetic_real_observed,1.8749999999999998
JAKARTA BARAT,kota,DKI JAKARTA,2015,9,2015-09-01,30,0,2400000,0.22857142857142856,1.0,0.01789119234046006,0.7416530970760207,27.61,32.62,23.3,73.1,0.25,0.56,0.47,78.55,26.76,26.72,real_jakarta,not_synthetic_real_observed,1.25
JAKARTA BARAT,kota,DKI JAKARTA,2015,10,2015-10-01,37,0,2400000,0.22857142857142856,1.0,0.021826443263418396,0.6397499237072944,28.53,33.11,24.7,72.06,0.56,0.25,0.56,73.1,27.61,26.76,real_jakarta,not_synthetic_real_observed,1.5416666666666667
JAKARTA BARAT,kota,DKI JAKARTA,2015,11,2015-11-01,22,0,2400000,0.22857142857142856,1.0,0.023286948760598808,0.6651864019107179,28.75,33.27,25.7,75.69,4.34,0.56,0.25,72.06,28.53,27.61,real_jakarta,not_synthetic_real_observed,0.9166666666666666
JAKARTA BARAT,kota,DKI JAKARTA,2015,12,2015-12-01,34,0,2400000,0.22857142857142856,1.0,0.028236439612154652,0.8761766508840998,27.89,31.15,24.58,80.88,7.46,4.34,0.56,75.69,28.75,28.53,real_jakarta,not_synthetic_real_observed,1.4166666666666665
JAKARTA BARAT,kota,DKI JAKARTA,2016,1,2016-01-01,185,0,2400000,0.22857142857142856,1.0,0.10434500385411173,1.0564563125475401,28.07,31.91,24.94,81.38,7.06,7.46,4.34,80.88,27.89,28.75,real_jakarta,not_synthetic_real_observed,7.708333333333333
