region,year,month,date_month,data_origin,penderita_dbd,meninggal,is_complete_year,region_type,province,population,population_scale,risk_multiplier,monthly_share,weather_multiplier,synthetic_method
JAKARTA BARAT,2015,1,2015-01-01,real_jakarta,128,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2015,2,2015-02-01,real_jakarta,134,1,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2015,3,2015-03-01,real_jakarta,205,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2015,4,2015-04-01,real_jakarta,237,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2015,5,2015-05-01,real_jakarta,187,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2015,6,2015-06-01,real_jakarta,119,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2015,7,2015-07-01,real_jakarta,105,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2015,8,2015-08-01,real_jakarta,45,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2015,9,2015-09-01,real_jakarta,30,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2015,10,2015-10-01,real_jakarta,37,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2015,11,2015-11-01,real_jakarta,22,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2015,12,2015-12-01,real_jakarta,34,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2016,1,2016-01-01,real_jakarta,185,0,False,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2016,2,2016-02-01,real_jakarta,94,0,False,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,1,2017-01-01,real_jakarta,185,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,2,2017-02-01,real_jakarta,79,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,3,2017-03-01,real_jakarta,112,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,4,2017-04-01,real_jakarta,79,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,5,2017-05-01,real_jakarta,81,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,6,2017-06-01,real_jakarta,44,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,7,2017-07-01,real_jakarta,44,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,8,2017-08-01,real_jakarta,34,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,9,2017-09-01,real_jakarta,24,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,10,2017-10-01,real_jakarta,58,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,11,2017-11-01,real_jakarta,39,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2017,12,2017-12-01,real_jakarta,43,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,1,2018-01-01,real_jakarta,64,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,2,2018-02-01,real_jakarta,59,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,3,2018-03-01,real_jakarta,95,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,4,2018-04-01,real_jakarta,142,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,5,2018-05-01,real_jakarta,151,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,6,2018-06-01,real_jakarta,98,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,7,2018-07-01,real_jakarta,59,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,8,2018-08-01,real_jakarta,57,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,9,2018-09-01,real_jakarta,42,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,10,2018-10-01,real_jakarta,45,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,11,2018-11-01,real_jakarta,39,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2018,12,2018-12-01,real_jakarta,58,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,1,2019-01-01,real_jakarta,252,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,2,2019-02-01,real_jakarta,460,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,3,2019-03-01,real_jakarta,539,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,4,2019-04-01,real_jakarta,333,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,5,2019-05-01,real_jakarta,304,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,6,2019-06-01,real_jakarta,176,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,7,2019-07-01,real_jakarta,73,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,8,2019-08-01,real_jakarta,31,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,9,2019-09-01,real_jakarta,25,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,10,2019-10-01,real_jakarta,23,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,11,2019-11-01,real_jakarta,40,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2019,12,2019-12-01,real_jakarta,49,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,1,2020-01-01,real_jakarta,69,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,2,2020-02-01,real_jakarta,166,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,3,2020-03-01,real_jakarta,354,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,4,2020-04-01,real_jakarta,282,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,5,2020-05-01,real_jakarta,195,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,6,2020-06-01,real_jakarta,82,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,7,2020-07-01,real_jakarta,22,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,8,2020-08-01,real_jakarta,25,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,9,2020-09-01,real_jakarta,19,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,10,2020-10-01,real_jakarta,11,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,11,2020-11-01,real_jakarta,23,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA BARAT,2020,12,2020-12-01,real_jakarta,17,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,1,2015-01-01,real_jakarta,33,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,2,2015-02-01,real_jakarta,39,1,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,3,2015-03-01,real_jakarta,85,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,4,2015-04-01,real_jakarta,100,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,5,2015-05-01,real_jakarta,61,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,6,2015-06-01,real_jakarta,39,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,7,2015-07-01,real_jakarta,11,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,8,2015-08-01,real_jakarta,6,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,9,2015-09-01,real_jakarta,9,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,10,2015-10-01,real_jakarta,7,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,11,2015-11-01,real_jakarta,6,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2015,12,2015-12-01,real_jakarta,9,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2016,1,2016-01-01,real_jakarta,86,1,False,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2016,2,2016-02-01,real_jakarta,31,0,False,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,1,2017-01-01,real_jakarta,31,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,2,2017-02-01,real_jakarta,12,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,3,2017-03-01,real_jakarta,13,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,4,2017-04-01,real_jakarta,13,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,5,2017-05-01,real_jakarta,9,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,6,2017-06-01,real_jakarta,16,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,7,2017-07-01,real_jakarta,3,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,8,2017-08-01,real_jakarta,7,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,9,2017-09-01,real_jakarta,4,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,10,2017-10-01,real_jakarta,5,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,11,2017-11-01,real_jakarta,8,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2017,12,2017-12-01,real_jakarta,8,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,1,2018-01-01,real_jakarta,17,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,2,2018-02-01,real_jakarta,9,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,3,2018-03-01,real_jakarta,11,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,4,2018-04-01,real_jakarta,25,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,5,2018-05-01,real_jakarta,23,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,6,2018-06-01,real_jakarta,7,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,7,2018-07-01,real_jakarta,7,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,8,2018-08-01,real_jakarta,6,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,9,2018-09-01,real_jakarta,3,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,10,2018-10-01,real_jakarta,3,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,11,2018-11-01,real_jakarta,2,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2018,12,2018-12-01,real_jakarta,2,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,1,2019-01-01,real_jakarta,55,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,2,2019-02-01,real_jakarta,104,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,3,2019-03-01,real_jakarta,136,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,4,2019-04-01,real_jakarta,65,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,5,2019-05-01,real_jakarta,68,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,6,2019-06-01,real_jakarta,33,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,7,2019-07-01,real_jakarta,16,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,8,2019-08-01,real_jakarta,4,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,9,2019-09-01,real_jakarta,1,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,10,2019-10-01,real_jakarta,2,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,11,2019-11-01,real_jakarta,4,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2019,12,2019-12-01,real_jakarta,4,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,1,2020-01-01,real_jakarta,18,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,2,2020-02-01,real_jakarta,41,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,3,2020-03-01,real_jakarta,122,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,4,2020-04-01,real_jakarta,100,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,5,2020-05-01,real_jakarta,62,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,6,2020-06-01,real_jakarta,12,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,7,2020-07-01,real_jakarta,5,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,8,2020-08-01,real_jakarta,2,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,9,2020-09-01,real_jakarta,0,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,10,2020-10-01,real_jakarta,0,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,11,2020-11-01,real_jakarta,4,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA PUSAT,2020,12,2020-12-01,real_jakarta,1,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA SELATAN,2015,1,2015-01-01,real_jakarta,151,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA SELATAN,2015,2,2015-02-01,real_jakarta,165,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA SELATAN,2015,3,2015-03-01,real_jakarta,181,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA SELATAN,2015,4,2015-04-01,real_jakarta,188,0,True,kota,DKI JAKARTA,,,,,,
JAKARTA SELATAN,2015,5,2015-05-01,real_jakarta,152,0,True,kota,DKI JAKARTA,,,,,,
