region,region_type,province,year,month,date_month,penderita_dbd,meninggal,population,population_scale,risk_multiplier,monthly_share,weather_multiplier,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,rainfall_lag_1,rainfall_lag_2,humidity_lag_1,temperature_lag_1,temperature_lag_2,data_origin,synthetic_method
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,1,2015-01-01,169,0,3200000,0.3047619047619048,0.8,0.10434500385411173,1.2330362518676508,26.46,30.33,24.09,85.5,11.88,11.88,11.88,85.5,26.46,26.46,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,2,2015-02-01,219,0,3200000,0.3047619047619048,0.8,0.13298713943770538,1.2330362518676508,26.4,29.97,24.26,85.8,19.1,11.88,19.1,85.5,26.46,26.4,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,3,2015-03-01,362,0,3200000,0.3047619047619048,0.8,0.19465292709643392,1.4541239085013473,27.01,31.32,24.36,83.57,9.22,19.1,11.88,85.8,26.4,26.46,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,4,2015-04-01,205,0,3200000,0.3047619047619048,0.8,0.16191326220130633,1.1313347174927852,27.54,31.16,24.84,82.29,6.37,9.22,19.1,83.57,27.01,26.4,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,5,2015-05-01,185,0,3200000,0.3047619047619048,0.8,0.14970181346099234,1.0370871434162408,27.5,30.73,24.01,82.94,3.17,6.37,9.22,82.29,27.54,27.01,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,6,2015-06-01,108,0,3200000,0.3047619047619048,0.8,0.08896912653657349,0.9534553248108355,27.19,30.56,23.39,81.07,1.51,3.17,6.37,82.94,27.5,27.54,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,7,2015-07-01,50,0,3200000,0.3047619047619048,0.8,0.048683516572680434,0.8528333190745272,26.72,30.26,23.28,80.57,0.47,1.51,3.17,81.07,27.19,27.5,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,8,2015-08-01,28,0,3200000,0.3047619047619048,0.8,0.027506186863564444,0.7944217936158228,26.76,31.16,22.66,78.55,0.56,0.47,1.51,80.57,26.72,27.19,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,9,2015-09-01,21,0,3200000,0.3047619047619048,0.8,0.01789119234046006,0.755450892716453,27.61,32.62,23.3,73.1,0.25,0.56,0.47,78.55,26.76,26.72,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,10,2015-10-01,21,0,3200000,0.3047619047619048,0.8,0.021826443263418396,0.6597896153119127,28.53,33.11,24.7,72.06,0.56,0.25,0.56,73.1,27.61,26.76,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,11,2015-11-01,23,0,3200000,0.3047619047619048,0.8,0.023286948760598808,0.679255164464414,28.75,33.27,25.7,75.69,4.34,0.56,0.25,72.06,28.53,27.61,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2015,12,2015-12-01,30,0,3200000,0.3047619047619048,0.8,0.028236439612154652,0.8779065950022301,27.89,31.15,24.58,80.88,7.46,4.34,0.56,75.69,28.75,28.53,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2017,1,2017-01-01,78,0,3200000,0.3047619047619048,0.8,0.10434500385411173,1.0373182014041034,26.75,30.7,24.66,86.06,11.0,5.25,9.59,84.57,27.12,27.4,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2017,2,2017-02-01,128,0,3200000,0.3047619047619048,0.8,0.13298713943770538,1.2287478369455291,26.6,29.79,24.49,87.06,19.52,11.0,5.25,86.06,26.75,27.12,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2017,3,2017-03-01,238,0,3200000,0.3047619047619048,0.8,0.19465292709643392,1.5006363834908163,27.15,30.37,24.74,83.89,7.38,19.52,11.0,87.06,26.6,26.75,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2017,4,2017-04-01,129,0,3200000,0.3047619047619048,0.8,0.16191326220130633,1.087829306699093,27.41,30.65,24.99,84.46,8.42,7.38,19.52,83.89,27.15,26.6,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2017,5,2017-05-01,130,0,3200000,0.3047619047619048,0.8,0.14970181346099234,1.140352529415488,27.79,30.93,24.56,82.47,4.54,8.42,7.38,84.46,27.41,27.15,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2017,6,2017-06-01,71,0,3200000,0.3047619047619048,0.8,0.08896912653657349,0.9947626297035395,27.23,30.45,24.93,83.74,4.39,4.54,8.42,82.47,27.79,27.41,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2017,7,2017-07-01,44,0,3200000,0.3047619047619048,0.8,0.048683516572680434,0.9976599527477102,27.05,30.34,22.96,80.87,2.26,4.39,4.54,83.74,27.23,27.79,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
KABUPATEN BEKASI,kabupaten,JAWA BARAT,2017,8,2017-08-01,24,0,3200000,0.3047619047619048,0.8,0.027506186863564444,0.8661679083409527,26.89,30.18,22.75,78.86,0.58,2.26,4.39,80.87,27.05,27.23,synthetic_jabodetabek,jakarta_seasonality_population_weather_poisson
